Title,Runtime,ReleaseDate,Rating,DomesticTotalGross,Director,Budget
The Princess and the Frog,95,2009-11-25 00:00:00,G,104400899,Ron ClementsJohn Musker,105000000
Public Enemies,143,2009-07-01 00:00:00,R,97104620,Michael Mann,100000000
Julie & Julia,123,2009-08-07 00:00:00,PG-13,94125426,Nora Ephron,40000000
He's Just Not That Into You,129,2009-02-06 00:00:00,PG-13,93953653,Ken Kwapis,
Tyler Perry's Madea Goes to Jail,103,2009-02-20 00:00:00,PG-13,90508336,Tyler Perry,
The Ugly Truth,96,2009-07-24 00:00:00,R,88915214,Robert Luketic,38000000
Up in the Air,109,2009-12-04 00:00:00,R,83823381,Jason Reitman,25000000
Knowing,122,2009-03-20 00:00:00,PG-13,79957634,Alex Proyas,50000000
Hannah Montana The Movie,92,2009-04-10 00:00:00,G,79576189,Peter Chelsom,
Where the Wild Things Are,94,2009-10-16 00:00:00,PG,77233467,Spike Jonze,100000000
Zombieland,81,2009-10-02 00:00:00,R,75590286,Ruben Fleischer,23600000
Coraline,100,2009-02-06 00:00:00,PG,75286229,Henry Selick,60000000
Law Abiding Citizen,108,2009-10-16 00:00:00,R,73357727,F. Gary Gray,50000000
Hotel for Dogs,100,2009-01-16 00:00:00,PG,73034460,Thor Freudenthal,
Michael Jackson's This Is It,121,2009-10-28 00:00:00,PG,72091016,Kenny Ortega,
"I Love You, Man",110,2009-03-20 00:00:00,R,71440011,John Hamburg,
Obsessed,105,2009-04-24 00:00:00,PG-13,68261644,,20000000
Race to Witch Mountain,99,2009-03-13 00:00:00,PG,67172594,Andy Fickman,
The Final Destination,82,2009-08-28 00:00:00,R,66477700,David R. Ellis,40000000
The Taking of Pelham 1 2 3,121,2009-06-12 00:00:00,R,65452312,Tony Scott,100000000
Friday the 13th,95,2009-02-13 00:00:00,R,65002019,Marcus Nispel,19000000
17 Again,102,2009-04-17 00:00:00,PG-13,64167069,Burr Steers,
The Time Traveler's Wife,108,2009-08-14 00:00:00,PG-13,63414846,Robert Schwentke,39000000
Bruno,88,2009-07-10 00:00:00,R,60054530,Larry Charles,
Bride Wars,90,2009-01-09 00:00:00,PG,58715510,Gary Winick,30000000
The Haunting in Connecticut,92,2009-03-27 00:00:00,PG-13,55389516,,
Ghosts of Girlfriends Past,100,2009-05-01 00:00:00,PG-13,55250026,Mark S. Waters,
Funny People,136,2009-07-31 00:00:00,R,51855045,Judd Apatow,75000000
Tyler Perry's I Can Do Bad All By Myself,113,2009-09-11 00:00:00,PG-13,51733921,Tyler Perry,
My Bloody Valentine 3-D,101,2009-01-16 00:00:00,R,51545952,Patrick Lussier,15000000
Old Dogs,88,2009-11-25 00:00:00,PG,49492060,Walter Becker,35000000
Land of the Lost,93,2009-06-05 00:00:00,PG-13,49438370,Brad Silberling,100000000
My Sister's Keeper,106,2009-06-26 00:00:00,PG-13,49200230,Nick Cassavetes,30000000
"Precious: Based on the Novel ""Push"" by Sapphire",109,2009-11-06 00:00:00,R,47566524,Lee Daniels,10000000
Underworld: Rise of the Lycans,92,2009-01-23 00:00:00,R,45802315,,35000000
Confessions of a Shopaholic,112,2009-02-13 00:00:00,PG,44277350,P.J. Hogan,
The Lovely Bones,135,2009-12-11 00:00:00,PG-13,44114232,Peter Jackson,65000000
Year One,100,2009-06-19 00:00:00,PG-13,43337279,Harold Ramis,60000000
The Unborn,88,2009-01-09 00:00:00,PG-13,42670410,David S. Goyer,16000000
Planet 51,91,2009-11-20 00:00:00,PG,42194060,,70000000
Drag Me to Hell,99,2009-05-29 00:00:00,PG-13,42100625,Sam Raimi,30000000
Orphan,123,2009-07-24 00:00:00,R,41596251,Jaume Collet-Serra,
Duplicity,125,2009-03-20 00:00:00,PG-13,40572825,Tony Gilroy,60000000
Crazy Heart,111,2009-12-16 00:00:00,R,39464306,Scott Cooper,7000000
Surrogates,89,2009-09-25 00:00:00,PG-13,38577772,Jonathan Mostow,80000000
Ninja Assassin,99,2009-11-25 00:00:00,R,38122883,James McTeigue,40000000
Invictus,132,2009-12-11 00:00:00,PG-13,37491364,Clint Eastwood,60000000
State of Play,118,2009-04-17 00:00:00,PG-13,37017955,Kevin Macdonald,
Notorious,122,2009-01-16 00:00:00,R,36843682,"George Tillman, Jr.",20000000
The Pink Panther 2,92,2009-02-06 00:00:00,PG,35922978,Harald Zwart,70000000
All About Steve,99,2009-09-04 00:00:00,PG-13,33862903,,
Halloween II,101,2009-08-28 00:00:00,R,33392973,Rob Zombie,15000000
The Informant!,108,2009-09-18 00:00:00,R,33316821,Steven Soderbergh,22000000
Under the Sea 3D,40,2009-02-13 00:00:00,G,,,
The Last House on the Left,109,2009-03-13 00:00:00,R,32752215,Dennis Iliadis,
The Men Who Stare at Goats,90,2009-11-06 00:00:00,R,32428195,,25000000
,95,2009-07-17 00:00:00,PG-13,32391374,Marc Webb,7500000
Earth,90,2009-04-22 00:00:00,G,32011576,,
Push,111,2009-02-06 00:00:00,PG-13,31811527,,38000000
9,79,2009-09-09 00:00:00,PG-13,31749894,,30000000
The Soloist,109,2009-04-24 00:00:00,PG-13,31720158,Joe Wright,
Toy Story / Toy Story 2,169,2009-10-02 00:00:00,G,30702446,,
Did You Hear About the Morgans?,103,2009-12-18 00:00:00,PG-13,29580087,,58000000
The Stepfather,101,2009-10-16 00:00:00,PG-13,29062561,,20000000
The Uninvited,87,2009-01-30 00:00:00,PG-13,28596818,,
Brothers,110,2009-12-04 00:00:00,R,28544157,Jim Sheridan,26000000
Saw VI,120,2009-10-23 00:00:00,R,27693292,,11000000
Dance Flick,83,2009-05-22 00:00:00,PG-13,25662155,,25000000
The Fourth Kind,98,2009-11-06 00:00:00,PG-13,25486040,,
Toy Story 3,103,2010-06-18 00:00:00,G,415004880,Lee Unkrich,200000000
Alice in Wonderland,109,2010-03-05 00:00:00,PG,334191110,Tim Burton,200000000
Iron Man 2,125,2010-05-07 00:00:00,PG-13,312433331,Jon Favreau,200000000
The Twilight Saga: Eclipse,124,2010-06-30 00:00:00,PG-13,300531751,David Slade,68000000
Harry Potter and the Deathly Hallows Part 1,150,2010-11-19 00:00:00,PG-13,295983305,David Yates,
Inception,148,2010-07-16 00:00:00,PG-13,292576195,Christopher Nolan,160000000
Despicable Me,95,2010-07-09 00:00:00,PG,251513985,Pierre CoffinChris Renaud,69000000
Shrek Forever After,93,2010-05-21 00:00:00,PG,238736787,Mike Mitchell,165000000
How to Train Your Dragon,98,2010-03-26 00:00:00,PG,217581231,Dean DeBloisChris Sanders,165000000
Tangled,100,2010-11-24 00:00:00,PG,200821936,Nathan GrenoByron Howard,260000000
The Karate Kid,140,2010-06-11 00:00:00,PG,176591618,Harald Zwart,40000000
Tron Legacy,125,2010-12-17 00:00:00,PG,172062763,Joseph Kosinski,170000000
True Grit,110,2010-12-22 00:00:00,PG-13,171243005,Ethan CoenJoel Coen,38000000
Clash of the Titans,118,2010-04-02 00:00:00,PG-13,163214888,Louis Leterrier,125000000
Grown Ups,102,2010-06-25 00:00:00,PG-13,162001186,Dennis Dugan,80000000
Little Fockers,98,2010-12-22 00:00:00,PG-13,148438600,Paul Weitz,100000000
Megamind,96,2010-11-05 00:00:00,PG,148415853,Tom McGrath,130000000
The King's Speech,118,2010-11-26 00:00:00,R,135453143,Tom Hooper,15000000
The Last Airbender,103,2010-07-01 00:00:00,PG,131772187,M. Night Shyamalan,150000000
Shutter Island,138,2010-02-19 00:00:00,R,128012934,Martin Scorsese,80000000
The Other Guys,107,2010-08-06 00:00:00,PG-13,119219978,Adam McKay,100000000
Salt,99,2010-07-23 00:00:00,PG-13,118311368,Phillip Noyce,110000000
Jackass 3-D,94,2010-10-15 00:00:00,R,117229692,Jeff Tremaine,20000000
Valentine's Day,117,2010-02-12 00:00:00,PG-13,110485654,Garry Marshall,52000000
Black Swan,103,2010-12-03 00:00:00,R,106954678,Darren Aronofsky,13000000
Robin Hood,148,2010-05-14 00:00:00,PG-13,105269730,Ridley Scott,200000000
The Chronicles of Narnia: The Voyage of the Dawn Treader,112,2010-12-10 00:00:00,PG,104386950,Michael Apted,155000000
The Expendables,103,2010-08-13 00:00:00,R,103068524,Sylvester Stallone,80000000
Due Date,95,2010-11-05 00:00:00,R,100539043,Todd Phillips,65000000
